"Text", "Type"
"AWS SSO", "AWS_OFFERING"
"AWS STS", "AWS_OFFERING"
"AWS Schema Conversion Tool", "AWS_OFFERING"
"AWS Secrets Manager", "AWS_OFFERING"
"AWS Security Hub", "AWS_OFFERING"
"AWS Security Token Service (AWS STS)", "AWS_OFFERING"
"AWS Server Migration Service (AWS SMS)", "AWS_OFFERING"
"AWS Serverless Application Model (AWS SAM)", "AWS_OFFERING"
"AWS Serverless Application Repository", "AWS_OFFERING"
"AWS Service Catalog", "AWS_OFFERING"
"AWS Service Health Dashboard", "AWS_OFFERING"
"AWS Shield", "AWS_OFFERING"
"AWS Shield Advanced", "AWS_OFFERING"
"AWS Shield Standard", "AWS_OFFERING"
"AWS Single Sign-On", "AWS_OFFERING"
"AWS Snowball", "AWS_OFFERING"
"AWS Snowmobile", "AWS_OFFERING"
"AWS Step Functions", "AWS_OFFERING"
"AWS Storage Gateway", "AWS_OFFERING"
"AWS Support", "AWS_OFFERING"
"AWS Systems Manager", "AWS_OFFERING"
"AWS Toolkit for Eclipse", "AWS_OFFERING"
"AWS Toolkit for JetBrains", "AWS_OFFERING"
"AWS Toolkit for VS Code", "AWS_OFFERING"
"AWS Toolkit for Visual Studio", "AWS_OFFERING"
"AWS Tools for Microsoft Visual Studio Team Services", "AWS_OFFERING"
"AWS Tools for PowerShell", "AWS_OFFERING"
"AWS Tools for PowerShell Core", "AWS_OFFERING"
"AWS Tools for VSTS", "AWS_OFFERING"
"AWS Tools for Windows PowerShell", "AWS_OFFERING"
"AWS Transfer for SFTP", "AWS_OFFERING"
"AWS Transit Gateway", "AWS_OFFERING"
"AWS Trusted Advisor", "AWS_OFFERING"
"AWS WA Tool", "AWS_OFFERING"
"AWS WAF", "AWS_OFFERING"
"AWS Well-Architected Tool", "AWS_OFFERING"
"AWS X-Ray", "AWS_OFFERING"
"Alexa for Business", "AWS_OFFERING"
"Amazon API Gateway", "AWS_OFFERING"
"Amazon AWS", "AWS_OFFERING"
"Amazon AppStream", "AWS_OFFERING"
"Amazon AppStream 2.0", "AWS_OFFERING"
"Amazon Athena", "AWS_OFFERING"
"Amazon Aurora", "AWS_OFFERING"
"Amazon Chime", "AWS_OFFERING"
"Amazon Cloud Directory", "AWS_OFFERING"
"Amazon CloudFront", "AWS_OFFERING"
"Amazon CloudSearch", "AWS_OFFERING"
"Amazon CloudWatch", "AWS_OFFERING"
"Amazon CloudWatch Events", "AWS_OFFERING"
"Amazon CloudWatch Logs", "AWS_OFFERING"
"Amazon Cognito", "AWS_OFFERING"
"Amazon Comprehend", "AWS_OFFERING"
"Amazon Connect", "AWS_OFFERING"
"Amazon Corretto", "AWS_OFFERING"
"Amazon DevPay", "AWS_OFFERING"
"Amazon DocumentDB", "AWS_OFFERING"
"Amazon DocumentDB (with MongoDB compatibility)", "AWS_OFFERING"
"Amazon DynamoDB", "AWS_OFFERING"
"Amazon DynamoDB Streams", "AWS_OFFERING"
"Amazon EBS", "AWS_OFFERING"
"Amazon EC2", "AWS_OFFERING"
"Amazon EC2 Auto Scaling", "AWS_OFFERING"
"Amazon ECR", "AWS_OFFERING"
"Amazon ECS", "AWS_OFFERING"
"Amazon EFS", "AWS_OFFERING"
"Amazon EKS", "AWS_OFFERING"
"Amazon EMR", "AWS_OFFERING"
"Amazon ES", "AWS_OFFERING"
"Amazon ElastiCache", "AWS_OFFERING"
"Amazon Elastic Block Store (Amazon EBS)", "AWS_OFFERING"
"Amazon Elastic Compute Cloud (Amazon EC2)", "AWS_OFFERING"
"Amazon Elastic Container Registry (Amazon ECR)", "AWS_OFFERING"
"Amazon Elastic Container Service (Amazon ECS)", "AWS_OFFERING"
"Amazon Elastic Container Service for Kubernetes (Amazon EKS)", "AWS_OFFERING"
"Amazon Elastic File System (Amazon EFS)", "AWS_OFFERING"
"Amazon Elastic Transcoder", "AWS_OFFERING"
"Amazon Elasticsearch Service", "AWS_OFFERING"
"Amazon FSx", "AWS_OFFERING"
"Amazon FSx for Lustre", "AWS_OFFERING"
"Amazon FSx for Windows File Server", "AWS_OFFERING"
"Amazon Forecast", "AWS_OFFERING"
"Amazon FreeRTOS", "AWS_OFFERING"
"Amazon GameLift", "AWS_OFFERING"
"Amazon GuardDuty", "AWS_OFFERING"
"Amazon Inspector", "AWS_OFFERING"
"Amazon Kinesis", "AWS_OFFERING"
"Amazon Kinesis Data Analytics", "AWS_OFFERING"
"Amazon Kinesis Data Firehose", "AWS_OFFERING"
"Amazon Kinesis Data Streams", "AWS_OFFERING"
"Amazon Kinesis Video Streams", "AWS_OFFERING"
"Amazon Lex", "AWS_OFFERING"
"Amazon Lightsail", "AWS_OFFERING"
"Amazon Lumberyard", "AWS_OFFERING"
"Amazon ML", "AWS_OFFERING"
"Amazon MQ", "AWS_OFFERING"
"Amazon MSK", "AWS_OFFERING"
"Amazon Machine Learning (Amazon ML)", "AWS_OFFERING"
"Amazon Macie", "AWS_OFFERING"
"Amazon Managed Blockchain", "AWS_OFFERING"
"Amazon Managed Streaming for Kafka", "AWS_OFFERING"
"Amazon Mechanical Turk", "AWS_OFFERING"
"Amazon Mobile Analytics", "AWS_OFFERING"
"Amazon Neptune", "AWS_OFFERING"
"Amazon Personalize", "AWS_OFFERING"
"Amazon Pinpoint", "AWS_OFFERING"
"Amazon Polly", "AWS_OFFERING"
"Amazon QLDB", "AWS_OFFERING"
"Amazon Quantum Ledger Database (Amazon QLDB)", "AWS_OFFERING"
"Amazon QuickSight", "AWS_OFFERING"
"Amazon RDS", "AWS_OFFERING"
"Amazon Redshift", "AWS_OFFERING"
"Amazon Rekognition", "AWS_OFFERING"
"Amazon Relational Database Service (Amazon RDS)", "AWS_OFFERING"
"Amazon Remote Configuration", "AWS_OFFERING"
"Amazon Route 53", "AWS_OFFERING"
"Amazon S3", "AWS_OFFERING"
"Amazon S3 Glacier", "AWS_OFFERING"
"Amazon SES", "AWS_OFFERING"
"Amazon SNS", "AWS_OFFERING"
"Amazon SQS", "AWS_OFFERING"
"Amazon SWF", "AWS_OFFERING"
"Amazon SageMaker", "AWS_OFFERING"
"Amazon Silk", "AWS_OFFERING"
"Amazon Simple Email Service (Amazon SES)", "AWS_OFFERING"
"Amazon Simple Notification Service (Amazon SNS)", "AWS_OFFERING"
"Amazon Simple Queue Service (Amazon SQS)", "AWS_OFFERING"
"Amazon Simple Storage Service (Amazon S3)", "AWS_OFFERING"
"Amazon Simple Storage Service Glacier", "AWS_OFFERING"
"Amazon Simple Workflow Service (Amazon SWF)", "AWS_OFFERING"
"Amazon SimpleDB", "AWS_OFFERING"
"Amazon Sumerian", "AWS_OFFERING"
"Amazon Textract", "AWS_OFFERING"
"Amazon Timestream", "AWS_OFFERING"
"Amazon Transcribe", "AWS_OFFERING"
"Amazon Translate", "AWS_OFFERING"
"Amazon VPC", "AWS_OFFERING"
"Amazon Virtual Private Cloud (Amazon VPC)", "AWS_OFFERING"
"Amazon WAM", "AWS_OFFERING"
"Amazon Web Services", "AWS_OFFERING"
"Amazon Web Services (AWS)", "AWS_OFFERING"
"Amazon WorkDocs", "AWS_OFFERING"
"Amazon WorkLink", "AWS_OFFERING"
"Amazon WorkMail", "AWS_OFFERING"
"Amazon WorkSpaces", "AWS_OFFERING"
"Amazon WorkSpaces Application Manager (Amazon WAM)", "AWS_OFFERING"
"Amplify", "AWS_OFFERING"
"Apache MXNet on AWS", "AWS_OFFERING"
"App Mesh", "AWS_OFFERING"
"AppStream", "AWS_OFFERING"
"AppStream 2.0", "AWS_OFFERING"
"AppSync", "AWS_OFFERING"
"Application Auto Scaling", "AWS_OFFERING"
"Application Discovery Service", "AWS_OFFERING"
"Artifact", "AWS_OFFERING"
"Athena", "AWS_OFFERING"
"Aurora", "AWS_OFFERING"
"Auto Scaling", "AWS_OFFERING"
"Backup", "AWS_OFFERING"
"Batch", "AWS_OFFERING"
"Billing and Cost Management", "AWS_OFFERING"
"Blockchain Templates", "AWS_OFFERING"
"Blox", "AWS_OFFERING"
"CLI", "AWS_OFFERING"
"Certificate Manager", "AWS_OFFERING"
"Chalice", "AWS_OFFERING"
"Chime", "AWS_OFFERING"
"Cloud9", "AWS_OFFERING"
"Cloud Directory", "AWS_OFFERING"
"Cloud Map", "AWS_OFFERING"
"CloudFormation", "AWS_OFFERING"
"CloudFront", "AWS_OFFERING"
"CloudHSM", "AWS_OFFERING"
"CloudSearch", "AWS_OFFERING"
"CloudTrail", "AWS_OFFERING"
"CloudWatch", "AWS_OFFERING"
"CloudWatch Events", "AWS_OFFERING"
"CloudWatch Logs", "AWS_OFFERING"
"CodeBuild", "AWS_OFFERING"
"CodeCommit", "AWS_OFFERING"
"CodeDeploy", "AWS_OFFERING"
"CodePipeline", "AWS_OFFERING"
"CodeStar", "AWS_OFFERING"
"Cognito", "AWS_OFFERING"
"Command Line Interface", "AWS_OFFERING"
"Comprehend", "AWS_OFFERING"
"Config", "AWS_OFFERING"
"Connect", "AWS_OFFERING"
"Control Tower", "AWS_OFFERING"
"Corretto", "AWS_OFFERING"
"DMS", "AWS_OFFERING"
"DX", "AWS_OFFERING"
"Data Analytics", "AWS_OFFERING"
"Data Firehose", "AWS_OFFERING"
"Data Pipeline", "AWS_OFFERING"
"Data Streams", "AWS_OFFERING"
"DataSync", "AWS_OFFERING"
"Database Migration Service", "AWS_OFFERING"
"DeepLens", "AWS_OFFERING"
"DeepRacer", "AWS_OFFERING"
"DevPay", "AWS_OFFERING"
"Device Farm", "AWS_OFFERING"
"Direct Connect", "AWS_OFFERING"
"Directory Service", "AWS_OFFERING"
"Directory Service for Microsoft AD", "AWS_OFFERING"
"DocumentDB", "AWS_OFFERING"
"DynamoDB", "AWS_OFFERING"
"DynamoDB Streams", "AWS_OFFERING"
"EBS", "AWS_OFFERING"
"EC2", "AWS_OFFERING"
"EC2 Auto Scaling", "AWS_OFFERING"
"ECR", "AWS_OFFERING"
"ECS", "AWS_OFFERING"
"EFS", "AWS_OFFERING"
"EKS", "AWS_OFFERING"
"ELB", "AWS_OFFERING"
"EMR", "AWS_OFFERING"
"ElastiCache", "AWS_OFFERING"
"Elastic Beanstalk", "AWS_OFFERING"
"Elastic Block Store", "AWS_OFFERING"
"Elastic Compute Cloud", "AWS_OFFERING"
"Elastic Container Registry", "AWS_OFFERING"
"Elastic Container Service", "AWS_OFFERING"
"Elastic Container Service for Kubernetes", "AWS_OFFERING"
"Elastic File System", "AWS_OFFERING"
"Elastic Load Balancing", "AWS_OFFERING"
"Elastic Transcoder", "AWS_OFFERING"
"Elasticsearch Service", "AWS_OFFERING"
"FSx", "AWS_OFFERING"
"FSx for Lustre", "AWS_OFFERING"
"FSx for Lustre/", "AWS_OFFERING"
"FSx for Windows File Server", "AWS_OFFERING"
"Fargate", "AWS_OFFERING"
"Firewall Manager", "AWS_OFFERING"
"Forecast", "AWS_OFFERING"
"FreeRTOS", "AWS_OFFERING"
"GameLift", "AWS_OFFERING"
"Glacier", "AWS_OFFERING"
"Global Accelerator", "AWS_OFFERING"
"Glue", "AWS_OFFERING"
"GovCloud (US)", "AWS_OFFERING"
"Greengrass", "AWS_OFFERING"
"GuardDuty", "AWS_OFFERING"
"Health", "AWS_OFFERING"
"IAM", "AWS_OFFERING"
"Identity and Access Management", "AWS_OFFERING"
"Import/Export", "AWS_OFFERING"
"Inspector", "AWS_OFFERING"
"IoT", "AWS_OFFERING"
"IoT 1-Click", "AWS_OFFERING"
"IoT Analytics", "AWS_OFFERING"
"IoT Device Defender", "AWS_OFFERING"
"IoT Device Management", "AWS_OFFERING"
"IoT Events", "AWS_OFFERING"
"IoT Greengrass", "AWS_OFFERING"
"IoT SiteWise", "AWS_OFFERING"
"IoT Things Graph", "AWS_OFFERING"
"KMS", "AWS_OFFERING"
"Key Management Service", "AWS_OFFERING"
"Kinesis", "AWS_OFFERING"
"Kinesis Data Analytics", "AWS_OFFERING"
"Kinesis Data Firehose", "AWS_OFFERING"
"Kinesis Data Streams", "AWS_OFFERING"
"Kinesis Video Streams", "AWS_OFFERING"
"Lambda", "AWS_OFFERING"
"Lex", "AWS_OFFERING"
"License Manager", "AWS_OFFERING"
"Lightsail", "AWS_OFFERING"
"Lumberyard", "AWS_OFFERING"
"MQ", "AWS_OFFERING"
"MSK", "AWS_OFFERING"
"MTurk", "AWS_OFFERING"
"MXNet", "AWS_OFFERING"
"Machine Learning", "AWS_OFFERING"
"Macie", "AWS_OFFERING"
"Managed Blockchain", "AWS_OFFERING"
"Managed Streaming for Kafka", "AWS_OFFERING"
"Management Console", "AWS_OFFERING"
"Management Portal for vCenter", "AWS_OFFERING"
"Marketplace", "AWS_OFFERING"
"Mechanical Turk", "AWS_OFFERING"
"MediaConnect", "AWS_OFFERING"
"MediaConvert", "AWS_OFFERING"
"MediaLive", "AWS_OFFERING"
"MediaPackage", "AWS_OFFERING"
"MediaStore", "AWS_OFFERING"
"MediaTailor", "AWS_OFFERING"
"Microsoft AD", "AWS_OFFERING"
"Migration Hub", "AWS_OFFERING"
"Mobile Analytics", "AWS_OFFERING"
"Mobile Hub", "AWS_OFFERING"
"Mobile SDK for Android", "AWS_OFFERING"
"Mobile SDK for Unity", "AWS_OFFERING"
"Mobile SDK for iOS", "AWS_OFFERING"
"Neptune", "AWS_OFFERING"
"OpsWorks", "AWS_OFFERING"
"OpsWorks Stacks", "AWS_OFFERING"
"OpsWorks for Chef Automate", "AWS_OFFERING"
"Organizations", "AWS_OFFERING"
"Personal Health Dashboard", "AWS_OFFERING"
"Personalize", "AWS_OFFERING"
"Pinpoint", "AWS_OFFERING"
"Polly", "AWS_OFFERING"
"Private Certificate Authority", "AWS_OFFERING"
"QLDB", "AWS_OFFERING"
"QuickSight", "AWS_OFFERING"
"RDS", "AWS_OFFERING"
"Redshift", "AWS_OFFERING"
"Rekognition", "AWS_OFFERING"
"Relational Database Service", "AWS_OFFERING"
"Remote Configuration", "AWS_OFFERING"
"Remote Configuration TBR", "AWS_OFFERING"
"Resource Groups", "AWS_OFFERING"
"RoboMaker", "AWS_OFFERING"
"Route 53", "AWS_OFFERING"
"S3", "AWS_OFFERING"
"S3 Glacier or Glacier", "AWS_OFFERING"
"SAM", "AWS_OFFERING"
"SCT", "AWS_OFFERING"
"SDK for .NET", "AWS_OFFERING"
"SDK for .NET and Xamarin", "AWS_OFFERING"
"SDK for Android", "AWS_OFFERING"
"SDK for C++", "AWS_OFFERING"
"SDK for Go", "AWS_OFFERING"
"SDK for Java", "AWS_OFFERING"
"SDK for JavaScript in Node.js", "AWS_OFFERING"
"SDK for JavaScript in the Browser", "AWS_OFFERING"
"SDK for PHP", "AWS_OFFERING"
"SDK for Python", "AWS_OFFERING"
"SDK for Python (boto)", "AWS_OFFERING"
"SDK for Ruby", "AWS_OFFERING"
"SDK for Unity", "AWS_OFFERING"
"SDK for iOS", "AWS_OFFERING"
"SES", "AWS_OFFERING"
"SFTP", "AWS_OFFERING"
"SNS", "AWS_OFFERING"
"SQS", "AWS_OFFERING"
"SWF", "AWS_OFFERING"
"SageMaker", "AWS_OFFERING"
"Schema Conversion Tool", "AWS_OFFERING"
"Secrets Manager", "AWS_OFFERING"
"Security Hub", "AWS_OFFERING"
"Security Token Service", "AWS_OFFERING"
"Server Migration Service", "AWS_OFFERING"
"Serverless Application Model", "AWS_OFFERING"
"Serverless Application Repository", "AWS_OFFERING"
"Service Catalog", "AWS_OFFERING"
"Service Health Dashboard", "AWS_OFFERING"
"Shield", "AWS_OFFERING"
"Silk", "AWS_OFFERING"
"Simple AD", "AWS_OFFERING"
"Simple Email Service", "AWS_OFFERING"
"Simple Notification Service", "AWS_OFFERING"
"Simple Queue Service", "AWS_OFFERING"
"Simple Storage Service", "AWS_OFFERING"
"Simple Workflow Service", "AWS_OFFERING"
"SimpleDB", "AWS_OFFERING"
"Single Sign-On", "AWS_OFFERING"
"Snowball", "AWS_OFFERING"
"Snowmobile", "AWS_OFFERING"
"Step Functions", "AWS_OFFERING"
"Storage Gateway", "AWS_OFFERING"
"Sumerian", "AWS_OFFERING"
"Support", "AWS_OFFERING"
"Systems Manager", "AWS_OFFERING"
"Textract", "AWS_OFFERING"
"Timestream", "AWS_OFFERING"
"Toolkit for Eclipse", "AWS_OFFERING"
"Toolkit for JetBrains", "AWS_OFFERING"
"Toolkit for VS Code", "AWS_OFFERING"
"Toolkit for Visual Studio", "AWS_OFFERING"
"Tools for PowerShell", "AWS_OFFERING"
"Tools for PowerShell Core", "AWS_OFFERING"
"Tools for VSTS", "AWS_OFFERING"
"Tools for Windows PowerShell", "AWS_OFFERING"
"Transcribe", "AWS_OFFERING"
"Transit Gateway", "AWS_OFFERING"
"Translate", "AWS_OFFERING"
"Trusted Advisor", "AWS_OFFERING"
"VPC", "AWS_OFFERING"
"Video Streams", "AWS_OFFERING"
"WAF", "AWS_OFFERING"
"WAM", "AWS_OFFERING"
"Well-Architected Tool", "AWS_OFFERING"
"WorkDocs", "AWS_OFFERING"
"WorkLink", "AWS_OFFERING"
"WorkMail", "AWS_OFFERING"
"WorkSpaces", "AWS_OFFERING"
"X-Ray", "AWS_OFFERING"
